frequency,db(v(Vout)),180*cph(v(Vout))/pi
177827941000,-56.9477476,-354.569191
199526231000,-56.9234939,-353.931014
223872114000,-56.8932698,-353.22376
251188643000,-56.8556934,-352.442418
281838293000,-56.8091084,-351.582576
316227766000,-56.7515526,-350.640867
354813389000,-56.6807368,-349.61558
398107171000,-56.5940413,-348.507407
446683592000,-56.4885431,-347.320372
501187234000,-56.3610892,-346.062862
562341325000,-56.2084316,-344.748717
630957344000,-56.0274407,-343.398184
707945784000,-55.8154014,-342.03853
794328235000,-55.5703819,-340.703998
891250938000,-55.2916404,-339.434811
1000000000000,-54.9800029,-338.275018
