frequency,tmag,tphase
12589.2541,26.102781,-41.0821701
14125.3754,25.6428711,-44.3707858
15848.9319,25.1255533,-47.6683846
17782.7941,24.5512805,-50.9317789
19952.6231,23.9219553,-54.1200061
22387.2114,23.2407426,-57.1967863
25118.8643,22.511773,-60.132272
28183.8293,21.7398029,-62.9040209
31622.7766,20.9298718,-65.4970922
35481.3389,20.0870101,-67.9035484
39810.7171,19.2160118,-70.1214696
44668.3592,18.3212837,-72.1538074
50118.7234,17.406761,-74.0071779
56234.1325,16.475877,-75.690772
63095.7344,15.5315715,-77.2154174
70794.5784,14.5763248,-78.5928316
79432.8235,13.6122036,-79.8350459
89125.0938,12.640914,-80.9539983
100000,11.6638531,-81.9612418
112201.845,10.6821578,-82.8677674
125892.541,9.69674904,-83.683897
141253.754,8.70836934,-84.4192416
158489.319,7.7176156,-85.0826836
177827.941,6.72496631,-85.6824044
199526.231,5.7308041,-86.2259189
223872.114,4.73543425,-86.7201235
251188.643,3.7390998,-87.1713516
281838.293,2.74199372,-87.5854312
316227.766,1.74426869,-87.9677434
354813.389,0.746044985,-88.3232803
398107.171,-0.252583374,-88.656701
446683.592,-1.25154369,-88.972388
501187.234,-2.25078083,-89.2744988
562341.325,-3.25025428,-89.5670182
630957.344,-4.2499361,-89.8538076
707945.784,-5.24980934,-90.1386547
794328.235,-6.24986726,-90.4253211
891250.938,-7.2501129,-90.7175893
1000000,-8.25055923,-91.0193116
1122018.45,-9.25122985,-91.3344572
1258925.41,-10.2521602,-91.6671611
1412537.54,-11.2533992,-92.0217726
1584893.19,-12.2550121,-92.4029054
1778279.41,-13.2570832,-92.8154868
1995262.31,-14.2597206,-93.2648072
2238721.14,-15.2630605,-93.7565672
2511886.43,-16.2672737,-94.2969199
2818382.93,-17.272573,-94.8925066
3162277.66,-18.2792203,-95.5504793
3548133.89,-19.2875353,-96.2785051
3981071.71,-20.2979024,-97.0847433
4466835.92,-21.3107748,-97.9777892
5011872.34,-22.3266711,-98.9665768
5623413.25,-23.3461591,-100.060249
6309573.44,-24.3698172,-101.268028
7079457.84,-25.3981637,-102.59918
7943282.35,-26.431551,-104.063283
8912509.38,-27.4700508,-105.671137
10000000,-28.5134327,-107.436625
11220184.5,-29.5614371,-109.379026
12589254.1,-30.6144665,-111.523305
14125375.4,-31.6742586,-113.894936
15848931.9,-32.7435261,-116.510941
17782794.1,-33.8243965,-119.37633
19952623.1,-34.9170966,-122.490428
22387211.4,-36.0199371,-125.855758
25118864.3,-37.1300551,-129.482122
28183829.3,-38.2440607,-133.386051
31622776.6,-39.3583503,-137.588685
35481338.9,-40.4692433,-142.113846
39810717.1,-41.5731371,-146.986475
44668359.2,-42.6667954,-152.2308
50118723.4,-43.7477659,-157.867387
56234132.5,-44.8147985,-163.908536
63095734.4,-45.8680537,-170.352416
70794578.4,-46.9089158,-177.177477
79432823.5,-47.9393874,-184.339431
89125093.8,-48.9612493,-191.772579
100000000,-49.9752914,-199.395777
112201845,-50.9808687,-207.121502
125892541,-51.9758634,-214.8655
141253754,-52.9569497,-222.55462
158489319,-53.9199802,-230.131506
177827941,-54.8603344,-237.555914
199526231,-55.7731563,-244.803277
223872114,-56.653484,-251.861441
251188643,-57.4963256,-258.726521
281838293,-58.2967412,-265.398615
316227766,-59.0499801,-271.877968
354813389,-59.7516898,-278.161995
398107171,-60.3981884,-284.243448
446683592,-60.9867601,-290.109855
