 frequency       db(v(Vout))     180*cph(v(Vout))/pi
 1.12201845e+07 -3.35175671e+01 -1.29588862e+02 
 1.25892541e+07 -3.48016539e+01 -1.35061290e+02 
 1.41253754e+07 -3.61673346e+01 -1.41284437e+02 
 1.58489319e+07 -3.76394983e+01 -1.48408990e+02 
 1.77827941e+07 -3.92509929e+01 -1.56629725e+02 
 1.99526231e+07 -4.10442253e+01 -1.66210589e+02 
 2.23872114e+07 -4.30714185e+01 -1.77533466e+02 
 2.51188643e+07 -4.53890693e+01 -1.91195242e+02 
 2.81838293e+07 -4.80318360e+01 -2.08187820e+02 
 3.16227766e+07 -5.09217629e+01 -2.30095674e+02 
 3.54813389e+07 -5.36472160e+01 -2.58481978e+02 
 3.98107171e+07 -5.54062533e+01 -2.91311080e+02 
 4.46683592e+07 -5.59658789e+01 -3.21100387e+02 
 5.01187234e+07 -5.60596201e+01 -3.43230824e+02 
 5.62341325e+07 -5.62708201e+01 -3.58324559e+02 
 6.30957344e+07 -5.67396364e+01 -3.67961888e+02 
 7.07945784e+07 -5.73964725e+01 -3.73209622e+02 
 7.94328235e+07 -5.80985518e+01 -3.74828434e+02 
 8.91250938e+07 -5.86924497e+01 -3.73649281e+02 
 1.00000000e+08 -5.90674982e+01 -3.70735821e+02 
 1.12201845e+08 -5.91954238e+01 -3.67212132e+02 
 1.25892541e+08 -5.91235057e+01 -3.63929388e+02 
 1.41253754e+08 -5.89298089e+01 -3.61306270e+02 
 1.58489319e+08 -5.86834602e+01 -3.59418364e+02 
 1.77827941e+08 -5.84301600e+01 -3.58168403e+02 
 1.99526231e+08 -5.81945237e+01 -3.57409453e+02 
 2.23872114e+08 -5.79871144e+01 -3.57003450e+02 
 2.51188643e+08 -5.78105037e+01 -3.56839800e+02 
 2.81838293e+08 -5.76632372e+01 -3.56836330e+02 
 3.16227766e+08 -5.75421210e+01 -3.56934441e+02 
 3.54813389e+08 -5.74434408e+01 -3.57093410e+02 
 3.98107171e+08 -5.73635646e+01 -3.57285486e+02 
 4.46683592e+08 -5.72992105e+01 -3.57492102e+02 
 5.01187234e+08 -5.72475381e+01 -3.57701107e+02 
 5.62341325e+08 -5.72061524e+01 -3.57904772e+02 
 6.30957344e+08 -5.71730678e+01 -3.58098398e+02 
 7.07945784e+08 -5.71466570e+01 -3.58279335e+02 
 7.94328235e+08 -5.71255967e+01 -3.58446301e+02 
 8.91250938e+08 -5.71088169e+01 -3.58598913e+02 
 1.00000000e+09 -5.70954563e+01 -3.58737362e+02 
 1.12201845e+09 -5.70848234e+01 -3.58862186e+02 
 1.25892541e+09 -5.70763645e+01 -3.58974127e+02 
 1.41253754e+09 -5.70696370e+01 -3.59074021e+02 
 1.58489319e+09 -5.70642877e+01 -3.59162736e+02 
 1.77827941e+09 -5.70600348e+01 -3.59241126e+02 
 1.99526231e+09 -5.70566536e+01 -3.59310001e+02 
 2.23872114e+09 -5.70539655e+01 -3.59370112e+02 
 2.51188643e+09 -5.70518280e+01 -3.59422144e+02 
 2.81838293e+09 -5.70501277e+01 -3.59466704e+02 
 3.16227766e+09 -5.70487745e+01 -3.59504328e+02 
 3.54813389e+09 -5.70476965e+01 -3.59535472e+02 
 3.98107171e+09 -5.70468363e+01 -3.59560523e+02 
 4.46683592e+09 -5.70461483e+01 -3.59579791e+02 
 5.01187234e+09 -5.70455959e+01 -3.59593518e+02 
 5.62341325e+09 -5.70451497e+01 -3.59601877e+02 
 6.30957344e+09 -5.70447858e+01 -3.59604971e+02 
 7.07945784e+09 -5.70444851e+01 -3.59602836e+02 
 7.94328235e+09 -5.70442313e+01 -3.59595439e+02 
 8.91250938e+09 -5.70440112e+01 -3.59582682e+02 
 1.00000000e+10 -5.70438129e+01 -3.59564393e+02 
 1.12201845e+10 -5.70436258e+01 -3.59540328e+02 
 1.25892541e+10 -5.70434401e+01 -3.59510168e+02 
 1.41253754e+10 -5.70432457e+01 -3.59473513e+02 
 1.58489319e+10 -5.70430325e+01 -3.59429877e+02 
 1.77827941e+10 -5.70427890e+01 -3.59378684e+02 
 1.99526231e+10 -5.70425023e+01 -3.59319255e+02 
 2.23872114e+10 -5.70421571e+01 -3.59250806e+02 
 2.51188643e+10 -5.70417351e+01 -3.59172435e+02 
 2.81838293e+10 -5.70412138e+01 -3.59083107e+02 
 3.16227766e+10 -5.70405656e+01 -3.58981649e+02 
 3.54813389e+10 -5.70397560e+01 -3.58866728e+02 
 3.98107171e+10 -5.70387422e+01 -3.58736840e+02 
 4.46683592e+10 -5.70374704e+01 -3.58590291e+02 
 5.01187234e+10 -5.70358734e+01 -3.58425178e+02 
 5.62341325e+10 -5.70338668e+01 -3.58239368e+02 
 6.30957344e+10 -5.70313450e+01 -3.58030476e+02 
 7.07945784e+10 -5.70281754e+01 -3.57795846e+02 
 7.94328235e+10 -5.70241921e+01 -3.57532527e+02 
 8.91250938e+10 -5.70191874e+01 -3.57237251e+02 
 1.00000000e+11 -5.70129019e+01 -3.56906419e+02 
 1.12201845e+11 -5.70050116e+01 -3.56536089e+02 
 1.25892541e+11 -5.69951136e+01 -3.56121969e+02 
 1.41253754e+11 -5.69827073e+01 -3.55659437e+02 
 1.58489319e+11 -5.69671732e+01 -3.55143566e+02 
 1.77827941e+11 -5.69477476e+01 -3.54569191e+02 
 1.99526231e+11 -5.69234939e+01 -3.53931014e+02 
 2.23872114e+11 -5.68932698e+01 -3.53223760e+02 
 2.51188643e+11 -5.68556934e+01 -3.52442418e+02 
 2.81838293e+11 -5.68091084e+01 -3.51582576e+02 
 3.16227766e+11 -5.67515526e+01 -3.50640867e+02 
 3.54813389e+11 -5.66807368e+01 -3.49615580e+02 
 3.98107171e+11 -5.65940413e+01 -3.48507407e+02 
 4.46683592e+11 -5.64885431e+01 -3.47320372e+02 
 5.01187234e+11 -5.63610892e+01 -3.46062862e+02 
 5.62341325e+11 -5.62084316e+01 -3.44748717e+02 
 6.30957344e+11 -5.60274407e+01 -3.43398184e+02 
 7.07945784e+11 -5.58154014e+01 -3.42038530e+02 
 7.94328235e+11 -5.55703819e+01 -3.40703998e+02 
 8.91250938e+11 -5.52916404e+01 -3.39434811e+02 
 1.00000000e+12 -5.49800029e+01 -3.38275018e+02 
