v-sweep,i(Vout),v(V1),v(V2)
0.7365,-0.0000007446212,0.7365,0.9
0.7366,-0.000000744568135,0.7366,0.9
0.7367,-0.000000744514988,0.7367,0.9
0.7368,-0.000000744461726,0.7368,0.9
0.7369,-0.000000744408132,0.7369,0.9
0.737,-0.000000744354526,0.737,0.9
0.7371,-0.000000744300793,0.7371,0.9
0.7372,-0.000000744246829,0.7372,0.9
0.7373,-0.000000744192912,0.7373,0.9
0.7374,-0.000000744138779,0.7374,0.9
0.7375,-0.000000744084408,0.7375,0.9
0.7376,-0.000000744029862,0.7376,0.9
0.7377,-0.000000743975287,0.7377,0.9
0.7378,-0.000000743920561,0.7378,0.9
0.7379,-0.000000743865732,0.7379,0.9
0.738,-0.000000743810606,0.738,0.9
0.7381,-0.000000743755482,0.7381,0.9
0.7382,-0.000000743700115,0.7382,0.9
0.7383,-0.000000743644652,0.7383,0.9
0.7384,-0.000000743589073,0.7384,0.9
0.7385,-0.000000743533322,0.7385,0.9
0.7386,-0.000000743477354,0.7386,0.9
0.7387,-0.000000743421278,0.7387,0.9
0.7388,-0.00000074336517,0.7388,0.9
0.7389,-0.000000743308799,0.7389,0.9
0.739,-0.000000743252247,0.739,0.9
0.7391,-0.000000743195729,0.7391,0.9
0.7392,-0.000000743138864,0.7392,0.9
0.7393,-0.000000743081994,0.7393,0.9
0.7394,-0.00000074302484,0.7394,0.9
0.7395,-0.000000742967668,0.7395,0.9
0.7396,-0.000000742910292,0.7396,0.9
0.7397,-0.000000742852681,0.7397,0.9
0.7398,-0.000000742795082,0.7398,0.9
0.7399,-0.000000742737274,0.7399,0.9
0.74,-0.000000742679203,0.74,0.9
0.7401,-0.000000742621152,0.7401,0.9
0.7402,-0.00000074256279,0.7402,0.9
0.7403,-0.000000742504321,0.7403,0.9
0.7404,-0.000000742445728,0.7404,0.9
0.7405,-0.000000742386929,0.7405,0.9
0.7406,-0.000000742328098,0.7406,0.9
